"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"유럽",아일랜드,8.000,3.700,4.100,1.400,4.900,3.500,2.200,2.300,-6.500,-6.100,1.100,1.200,-0.800,1.600,8.500,23.400,0.100,8.800,6.200,3.700,6.100,15.200,6.900,-7.100
"유럽",이탈리아,3.800,1.900,0.100,-0.500,0.700,0.200,1.400,0.900,-1.800,-5.800,1.100,0.400,-3.400,-2.000,0.000,1.000,1.400,1.800,1.000,0.700,-8.500,9.300,4.900,0.900
"유럽",라트비아,6.800,7.800,8.900,9.500,9.900,12.800,13.900,11.300,-2.400,-14.600,-1.600,4.900,8.600,3.200,3.100,4.600,3.500,4.300,5.100,1.400,-2.800,7.800,2.100,1.600
"유럽",리투아니아,4.100,7.300,7.600,11.500,7.700,9.500,9.100,12.400,3.700,-13.900,2.600,8.700,5.800,5.100,4.700,3.800,4.000,6.100,5.900,5.000,0.000,6.400,1.700,-1.000
"유럽",룩셈부르크,5.400,1.800,2.200,1.400,2.800,0.900,4.300,6.400,-2.100,-5.000,1.900,-1.100,-0.700,0.800,0.200,-0.100,2.500,-0.900,-0.700,0.900,-2.500,5.500,-0.600,-2.800
"유럽",몰타,5.900,-1.500,2.000,3.000,-0.200,2.300,1.800,4.600,4.000,-1.800,5.700,0.500,3.600,5.800,6.100,7.000,1.700,9.900,3.500,0.100,-6.000,11.900,3.500,5.700
"유럽",몰도바,3.200,7.300,9.000,7.900,8.700,9.100,6.600,4.900,9.900,-4.100,9.300,8.000,1.500,11.400,7.100,1.000,6.200,5.600,5.400,4.900,-7.000,15.600,-5.200,0.100
"유럽",몬테네그로,14.500,1.100,1.900,2.500,4.400,4.100,8.600,6.900,7.300,-5.700,2.800,3.100,-2.900,3.600,2.100,3.900,3.600,5.400,5.800,4.800,-14.800,13.800,4.500,3.200
"유럽",네덜란드,3.500,1.500,-0.400,-0.400,1.700,1.800,3.400,3.600,1.700,-4.200,0.800,1.300,-1.400,-0.300,1.200,1.700,1.800,2.100,1.600,1.600,-4.400,5.700,4.000,-1.000
"유럽",북마케도니아,4.100,-3.500,1.100,1.900,4.400,4.600,5.200,6.800,6.000,0.100,3.800,2.900,0.200,3.600,4.400,4.800,3.900,2.100,4.000,5.100,-3.400,5.700,3.400,2.500
"유럽",노르웨이,2.600,1.600,0.800,0.400,3.400,2.000,1.600,1.900,-0.800,-3.200,-0.500,-0.200,1.400,-0.200,0.900,0.800,0.300,1.700,0.200,0.400,-1.900,3.400,2.100,-0.700
"유럽",폴란드,4.700,1.300,1.900,3.600,5.200,3.400,6.400,6.900,4.500,2.600,2.900,4.900,1.400,0.700,3.900,4.400,3.000,5.200,6.300,4.600,-1.900,7.300,4.300,-0.800
"유럽",포르투갈,3.100,1.200,0.200,-1.300,1.500,0.600,1.400,2.300,0.200,-3.200,1.700,-1.500,-3.700,-0.500,1.200,1.900,2.200,3.500,3.000,2.600,-8.400,5.400,6.700,2.400
"유럽",루마니아,3.000,5.800,6.400,3.200,11.400,5.600,8.900,8.100,10.100,-4.900,-3.200,5.300,2.500,0.800,4.600,3.700,3.300,8.700,6.600,4.400,-3.100,6.300,4.400,2.700
"유럽",러시아,10.400,5.500,4.900,7.400,7.600,6.800,8.500,8.700,5.300,-7.900,4.500,3.900,3.800,1.500,0.500,-2.200,-0.100,1.500,2.600,2.100,-2.500,6.400,-1.000,3.700
